City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,kulhudhuffushi,6.6221,73.07,299.92,80,9,3.96,MV,1667877573
313,voh,-20.9667,164.7,299.46,79,100,5.71,NC,1667877574
314,bakchar,57.0186,82.0711,265.97,99,96,1.32,RU,1667877574
315,waingapu,-9.6567,120.2641,304.02,62,86,3.98,ID,1667877574
316,zharkent,44.1628,80.0,282.12,75,100,0.3,KZ,1667877575
317,evensk,61.95,159.2333,265.98,76,100,0.68,RU,1667877504
318,basco,20.4487,121.9702,299.32,82,26,8.55,PH,1667877576
319,tasiilaq,65.6145,-37.6368,271.71,96,100,2.49,GL,1667877576
320,kurumkan,54.3,110.3,273.39,67,44,3.04,RU,1667877576
321,komsomolskiy,40.4272,71.7189,281.55,81,40,0.0,UZ,1667877577
322,batavia,41.85,-88.3126,280.32,69,0,3.09,US,1667877577
323,buzmeyin,38.0507,58.2056,277.0,75,75,1.03,TM,1667877577
324,tura,25.5198,90.2201,296.73,64,1,0.57,IN,1667877578
325,provideniya,64.3833,-173.3,273.35,86,100,8.05,RU,1667877578
326,suluq,31.6682,20.2521,291.16,77,4,2.25,LY,1667877578
327,seoul,37.5683,126.9778,288.81,52,0,1.22,KR,1667877277
328,lebu,-37.6167,-73.65,284.75,87,100,4.69,CL,1667877579
329,kang,-23.6752,22.7876,288.15,93,1,3.06,BW,1667877579
330,dikson,73.5069,80.5464,258.83,95,98,3.36,RU,1667877579
331,kakching,24.4833,93.9833,295.03,65,0,0.89,IN,1667877580
332,eregli,37.5133,34.0467,282.72,75,73,1.02,TR,1667877580
333,mehamn,71.0357,27.8492,273.12,93,75,3.09,NO,1667877580
334,qasigiannguit,68.8193,-51.1922,251.41,90,14,2.29,GL,1667877581
335,trincomalee,8.5711,81.2335,299.88,76,100,3.86,LK,1667877581
336,capitao poco,-1.7464,-47.0594,296.68,92,98,1.64,BR,1667877581
337,kota kinabalu,5.9749,116.0724,304.14,74,20,1.54,MY,1667877582
338,castricum,52.5483,4.6694,285.36,73,86,4.02,NL,1667877582
339,tecolutla,20.4833,-97.0167,297.9,83,5,0.95,MX,1667877583
340,reforma,18.1,-91.0167,295.17,87,42,2.97,MX,1667877583
341,nizhniy tsasuchey,50.5167,115.1333,277.49,38,99,2.92,RU,1667877583
342,tautira,-17.7333,-149.15,297.83,83,24,4.88,PF,1667877584
343,chiliile,45.4255,26.5936,284.48,84,100,1.03,RO,1667877584
344,cururupu,-1.8283,-44.8683,297.7,90,86,1.83,BR,1667877585
345,shebalino,51.2917,85.6772,273.81,92,100,0.14,RU,1667877585
346,tabas,33.5959,56.9244,287.27,35,0,2.06,IR,1667877585
347,kushmurun,52.4503,64.6311,268.88,96,93,2.24,KZ,1667877586
348,fuyu,45.1833,124.8167,281.58,29,55,6.81,CN,1667877586
349,lorengau,-2.0226,147.2712,302.09,74,100,2.8,PG,1667877587
350,takoradi,4.8845,-1.7554,298.79,85,100,1.9,GH,1667877538
351,misratah,32.3754,15.0925,293.58,64,7,3.46,LY,1667877587
352,kibala,9.1104,18.3463,296.84,45,62,1.22,TD,1667877587
353,isiro,2.7739,27.616,291.8,99,100,0.79,CD,1667877588
354,sile,41.1754,29.6133,284.58,67,25,2.64,TR,1667877588
355,mushie,-3.0167,16.9,295.09,96,100,0.92,CD,1667877589
356,bud,39.447,-86.1758,284.85,45,100,4.68,US,1667877589
357,port-gentil,-0.7193,8.7815,298.99,85,100,4.11,GA,1667877589
358,paita,-5.0892,-81.1144,290.43,86,10,5.13,PE,1667877590
359,coquimbo,-29.9533,-71.3436,287.0,94,100,3.09,CL,1667877590
360,san jose,37.3394,-121.895,285.38,77,40,6.17,US,1667877535
361,winnemucca,40.973,-117.7357,274.18,86,100,5.66,US,1667877590
362,rudbar,30.15,62.6,292.9,32,43,1.61,AF,1667877591
